,Run ID,Date,Time,Model Name,Model Author,Num Classes,Accuracy,Balanced Accuracy,AUC Score,Average Precision,F1 Score,Precision,Recall,Samples In Train,Samples In Test,Model Description,Column Predicted,Num Features Used,Data and Split Description,Normalized,Num Features Normalized,Feature Extraction,Was Untested Data Predicted,run,stain,num_dead,num_live,size
115,5oJJVx78rABDy,2019-07-23,20:22:54,random_forest_classification,Hamed,2,0.9329999999999999,0.9329999999999999,0.9790000000000001,0.973,0.935,0.905,0.968,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1c8xx94j94u7_r1c93ajvdzxz5_no_stain,True,9,False,True,r1c8xx94j94u7_r1c93ajvdzxz5,False,30000.0,30000.0,270.306265959117
116,5oyLYdvPLjGGG,2019-07-23,17:45:37,random_forest_classification,Hamed,2,0.996,0.996,1.0,0.9990000000000001,0.992,0.988,0.995,32464,8116,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1d6r8ztq8zfa7_r1d952nn9xk753_stain,True,12,False,True,r1d6r8ztq8zfa7_r1d952nn9xk753,True,30000.0,10580.0,552.1460917862245
117,QyGDPMOd1wD9P,2019-07-23,20:23:07,random_forest_classification,Hamed,2,0.996,0.996,0.9990000000000001,0.998,0.992,0.99,0.995,32464,8116,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1d6r8ztq8zfa7_r1d952nn9xk753_no_stain,True,9,False,True,r1d6r8ztq8zfa7_r1d952nn9xk753,False,30000.0,10580.0,552.1460917862245
118,5ZgQq676bpegN,2019-07-23,17:47:34,random_forest_classification,Hamed,2,0.985,0.983,0.998,0.996,0.973,0.966,0.9790000000000001,12819,3205,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1c7cppfr7yp6_r1c7jnv3pkbsj_stain,True,12,False,True,r1c7cppfr7yp6_r1c7jnv3pkbsj,True,11689.0,4335.0,419.97050778799263
119,aYDG2lVzEzqjV,2019-07-23,20:23:59,random_forest_classification,Hamed,2,0.982,0.981,0.998,0.996,0.9670000000000001,0.958,0.977,12819,3205,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1c7cppfr7yp6_r1c7jnv3pkbsj_no_stain,True,9,False,True,r1c7cppfr7yp6_r1c7jnv3pkbsj,False,11689.0,4335.0,401.73835210859716
120,aLzAv2lXWzdlB,2019-07-23,17:48:27,random_forest_classification,Hamed,2,0.9640000000000001,0.9640000000000001,0.9940000000000001,0.993,0.965,0.951,0.978,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1cdfsf4ezew3_r1cdjsyza79sr_stain,True,12,False,True,r1cdfsf4ezew3_r1cdjsyza79sr,True,30000.0,30000.0,332.4236340526029
121,5ZDVBYgzdOmdb,2019-07-23,20:25:04,random_forest_classification,Hamed,2,0.96,0.96,0.9890000000000001,0.985,0.96,0.9440000000000001,0.978,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1cdfsf4ezew3_r1cdjsyza79sr_no_stain,True,9,False,True,r1cdfsf4ezew3_r1cdjsyza79sr,False,30000.0,30000.0,321.88758248681995
122,66OaL7vLgXzyl,2019-07-23,17:49:26,random_forest_classification,Hamed,2,0.976,0.976,0.996,0.995,0.977,0.9690000000000001,0.9840000000000001,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1c5vab4q2yu9_r1c63c2e7z9hj_stain,True,12,False,True,r1c5vab4q2yu9_r1c63c2e7z9hj,True,30000.0,30000.0,372.9701448634191
123,Eo6OGlA7pv1QY,2019-07-23,20:25:19,random_forest_classification,Hamed,2,0.9520000000000001,0.9520000000000001,0.988,0.985,0.953,0.934,0.972,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1c5vab4q2yu9_r1c63c2e7z9hj_no_stain,True,9,False,True,r1c5vab4q2yu9_r1c63c2e7z9hj,False,30000.0,30000.0,303.65542680742476
124,Em2VG3oP8Reaz,2019-07-23,17:49:38,random_forest_classification,Hamed,2,0.98,0.98,0.997,0.996,0.98,0.975,0.985,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1ce3phrwnkqt_r1ceb8fj2hj9a_stain,True,12,False,True,r1ce3phrwnkqt_r1ceb8fj2hj9a,True,30000.0,30000.0,391.2023005428145
